LIBID,Year,LibraryName,Address,City,ZIP,MailingAddress,MailingCity,MailingZIP,County,Phone,DistCoop,CentralLibrary,Branches,Bookmobiles,RegisteredUsers,RegisteredUsersAdded,LibrariansALAMLS,LibrariansTotal,OtherStaff,Volunteers,VolunteerHours,FriendsGroup,Foundation,StaffPositionsFT,StaffPositionsPTUnder20,StaffPositionsPTOver20,StaffPositionsTempOnCall,RevenueCity,RevenueCounty,RevenueDistrict,RevenueState,RevenueLSTA,RevenueErate,RevenueOtherFed,RevenueOtherOperating,CaptialRevenueLocal,CapitalRevenueState,CapitalRevenueFed,CapitalRevenueOther,ExpendituresSalariesWages,ExpendituresBenefits,ExpendituresPrintMaterials,ExpendituresPeriodicals,ExpendituresElectronicMaterials,ExpendituresOtherMaterials,ExpendituresOtherOperating,ExpendituresServiceCharges,CapitalExpendituresConstruction,CapitalExpendituresEquipment,CapitalExpendituresOther,CollectionBooks,CollectionBooksAdded,CollectionPhysicalAudio,CollectionPhysicalAudioAdded,CollectionVideosPhysical,CollectionVideosPhysicalAdded,CollectionOtherMaterials,CollectionOtherMaterialsAdded,CollectionEbooksODLC,CollectionEbooksODLCAdded,CollectionEbooksLocal,CollectionEbooksLocalAdded,CollectionAudiobooksODLC,CollectionAudiobooksODLCAdded,CollectionAudiobooksLocal,CollectionAudiobooksLocalAdded,CollectionDigitalVideosODLC,CollectionDigitalVideosODLCAdded,CollectionDigitalVideosLocal,CollectionDigitalVideosLocalAdded,CollectionPhysicalSpanish,CollectionDigitalSpanish,CollectionOtherLanguages,CollectionDatabasesLocal,CollectionDatabasesLocalAdded,CollectionStatewideDatabases,CollectionStatewideDatabasesAdded,DatabaseUsageStatewide,DatabaseUsageLocal,CircAdult,CircAdultRenewals,CircYA,CircYARenewals,CircChildrens,CircChildrensRenewals,CircOtherMaterials,CircOtherMaterialsRenewals,CircNoAgeCategory,CircNoAgeCategoryRenewals,CircODLC,CircEcontentLocal,CircNetworkLoans,CircILLLoans,CircNetworkBorrows,CircILLBorrows,CircNonresidents,ReferenceTransactions,ReferenceTransactionsMethod,MeetingRoomUse,ProgramsSummerReading,ProgramsKids0-11,ProgramsKids0-11Attendance,ProgramsKids0-5,ProgramsKids0-5Attendance,ProgramsKids6-11,ProgramsKids6-11Attendance,ProgramsYA12-18,ProgramsYA12-18Attendance,ProgramsAdults,ProgramsAdultsAttendance,ProgramsGeneralInterest,ProgramsGeneralInterestAttendance,ProgramsInPersonOnsite,ProgramsInPersonOnsiteAttendance,ProgramsInPersonOffsite,ProgramsInPersonOffsiteAttendance,ProgramsVirtual,ProgramsVirtualAttendance,ProgramsRecorded,ProgramsRecordedViews,ProgramsSelfDirected,ProgramsSelfDirectedParticipants,TechPublicComputersSessions,TechPublicComputersMethod,TechPublicComputers,TechWiFiScenario,TechWiFiSessions,TechWiFiSessionsMethod,TechDownloadSpeed,TechUploadSpeed,TechSharedILS,TechILSProductName,TechWebsiteVisits,HoursWeekday,HoursWeekdayEvening,HoursWeekend,HoursWeekendEvening,WeeksOpenYear,HoursOpenYear,LibraryVisits,LibraryVisitsMethod,FacilitiesSqFtCentral,FacilitiesSqFtTotal,FacilitiesConstructionDate,FacilitiesRemodelDate,FinesAdultMaterials,FinesChildrensMaterials,FinesYAMaterials,FeesILL,FeesNonresident,SalaryDirectorHourlyLow,SalaryDirectorHourlyHigh,SalarySupervisoryLibHourlyLow,SalarySupervisoryLibHourlyHigh,SalaryLibrarianHourlyLow,SalaryLibrarianHourlyHigh,SalaryLibAssistHourlyLow,SalaryLibAssistHourlyHigh,SalaryLibClerkHourlyLow,SalaryLibClerkHourlyHigh,PopulationServed,InterlibraryRelationshipCode,LegalBasisCode,AdminStructureCode,PLSCPubLibDefinition,GeographicCode,Website
OR0055,2022,Ontario Library District,388 SW 2nd Ave,Ontario,97914,388 SW 2nd Ave,Ontario,97914,Malheur,541-889-6371,NONE,1,0,1,4189,319,0,5,5,0,0,TRUE,FALSE,3,6,1,0,0,6000,690354,23000,0,,0,23000,0,0,0,0,249492,56899,68913,,22487,19047,150437,Administration; Facilities; Human Resources; Information Technology; Finance,0,0,0,116868,4228,1631,235,3798,140,124,1,56416,8403,0,0,35057,3841,0,0,,,0,0,2095,0,Arabic; Chinese (including Mandarin & Cantonese); French; German; Japanese; Russian,0,0,22,0,0,0,16727,4167,1168,511,17448,3955,0,0,1387,333,8677,0,5005,0,1828,0,0,6000,Estimate,52,TRUE,,,0,0,0,0,0,0,0,0,0,0,133,5140,12,300,0,0,8,751,420,7200,1040,Estimate,6,Wi-Fi extends outside building (only available during open hours),645,Estimate,460.28,39.69,Sage,Evergreen,10061,34,2,4,0,52,2080,10200,Estimate,55000,55000,,2001,Yes,Yes,Yes,0,40,15,30,15,23,12.5,15,12.5,15,12,12.5,26805,ME,LD,MO,TRUE,CO3,https://www.ontariolibrarydistrict.org/
OR0056,2022,Oregon City Public Library,606 John Adams St,Oregon City,97045,606 John Adams St,Oregon City,97045,Clackamas,503-657-8269,LINCC,1,0,0,18161,2747,6,6,12.25,10,40,TRUE,TRUE,10,1,0,21,150000,0,2562269,9349,7000,,0,8863,18280,0,0,0,1004789,556471,96968,,43120,44014,774356,Human Resources; Information Technology; Finance; other,29336,107392,0,50576,8089,5309,377,8722,1558,1075,168,56416,8403,9794,3349,35057,3841,6879,2347,,,29331,2743,1703,3529,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Thai, Lao; Vietnamese; other",7,0,22,0,630,24046,112113,56932,14514,9440,135817,63840,314,9,0,0,44775,20994,137207,194,149769,416,250031,1802,Actual count,100,TRUE,,,23,600,0,0,8,56,117,1388,6,695,34,1249,2,100,118,1390,113,16266,63,2603,6450,Actual count,22,Wi-Fi extends outside building (left on through evening hours after library closes),7431,Actual count,885.63,919.19,LINCC,SirsiDynix,343016,35,10,12,1,52,2905,113945,Actual count,21000,21000,,2016,Yes,Yes,Yes,0,95,55.06,68.76,28.35,39.06,25.04,34.52,16.37,32.07,,,61161,ME,CI,SO,TRUE,PL2,https://www.orcity.org/library
OR0135,2022,Oregon Trail Library District,200 S Main St,Boardman,97818,PO Box 849,Boardman,97818,Morrow,541-481-3365,NONE,1,2,0,3091,308,1,1,6.13,17,184,TRUE,FALSE,5,2,4,0,0,0,698839,8550,12000,,0,0,0,0,0,429399,274306,155093,16894,,8131,872,131799,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,0,34103,0,39870,1710,1939,30,560,16,156,34,56416,8403,0,0,35057,3841,0,0,,,0,0,2613,0,,6,0,22,0,88,104,4843,1426,651,314,6205,1322,149,15,293,71,5617,5255,1974,0,2930,0,251,251,Actual count,152,TRUE,,,99,707,0,0,0,0,27,143,0,0,0,0,48,774,0,0,0,0,21,330,2156,Actual count,21,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),265.61,216.88,Sage,Evergreen,156616,28,4,4,0,52,1872,9432,Actual count,3000,10667,,,No,No,No,0,25,31.25,31.25,,,,,13.05,16.61,11.48,11.98,10818,ME,LD,MO,TRUE,OTH,https://www.otld.org/
OR0059,2022,Pendleton Public Library,502 SW Dorion Ave,Pendleton,97801,502 SW Dorion Ave,Pendleton,97801,Umatilla,541-966-0380,UCSLD,1,0,0,6178,684,2,2,3,12,300,TRUE,TRUE,4,0,4,3,119930,0,614271,6717,48545,,0,107772,0,0,0,0,303071,113474,29772,,10482,640,339868,Administration; Facilities; Human Resources; Information Technology; Legal; Finance,0,60846,0,42332,1898,3321,89,2372,53,93,52,56416,8403,258,183,35057,3841,327,163,,,0,0,228,0,,1,0,22,0,103,370,19054,6546,1786,921,17717,5640,78,4,4032,1657,15780,1981,3734,0,6466,0,0,8532,Actual count,0,TRUE,,,122,2142,59,1054,6,49,21,515,0,0,205,3615,2,145,1,14,0,0,12,180,5454,Actual count,6,Wi-Fi extends outside building (only available during open hours),n/a,N/A (we don't track Wi-Fi usage),697.06,106.34,Sage,Evergreen,14479,50,8,7,0,52,2600,39479,Actual count,15000,15000,,,Yes,Yes,Yes,0,30,41.34,52.08,30.46,38.37,,,19.63,23.9,,,23662,ME,CI,SO,TRUE,PL2,https://pendleton.or.us/library
OR0061,2022,Pilot Rock Public Library,144 N Alder Pl,Pilot Rock,97868,PO Box 520,Pilot Rock,97868,Umatilla,541-443-3285,UCSLD,1,0,0,490,46,0,1,0,0,0,FALSE,FALSE,0,1,0,0,0,0,70800,1000,0,,0,0,0,0,0,0,33520,11831,5195,,0,0,12538,Facilities; Human Resources; Legal; Finance,0,0,0,8907,168,324,0,952,0,16,0,56416,8403,0,0,35057,3841,0,0,,,0,0,5,0,,24,1,22,0,5,0,746,153,45,11,323,20,,,127,8,1161,0,609,0,297,0,0,0,N/A (we do not track reference transactions),0,TRUE,,,14,24,9,102,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25,25,73,Actual count,3,Wi-Fi extends outside building (left on 24/7),900,Estimate,93.87,90.03,Sage,Evergreen,40,35,3,0,0,52,1820,1081,Actual count,1000,1000,,,No,No,No,0,,17.79,18.82,,,,,,,,,1830,ME,CI,SO,TRUE,PL2,https://pilotrockpubliclibrary.weebly.com/
OR0062,2022,Port Orford Public Library,1421 Oregon St,Port Orford,97465,PO Box 130,Port Orford,97465,Curry,541-332-5622,NONE,1,2,0,1984,137,0,1.75,0.75,8,1852,TRUE,TRUE,1,2,0,0,0,0,142405,1000,12495,,0,111042,0,0,0,0,80723,26700,10000,,2200,500,76100,,0,0,0,29035,1852,1519,675,3768,103,100,65,56416,8403,0,0,35057,3841,0,0,,,0,0,52,15,Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Russian; Ukrainian; other,4,1,22,0,95,15,17007,10918,3361,1601,2665,1407,175,140,0,0,2582,0,5533,0,2148,5,9268,782,Actual count,435,TRUE,,,15,96,52,931,5,100,0,0,8,171,8,216,133,1551,2,35,83,16212,23,718,1353,Actual count,21,Wi-Fi extends outside building (left on 24/7),30153,Actual count,58.7,178.8,Coastline,Koha,30275,28,0,5,0,48,1584,25709,Actual count,10800,13500,,2008,No,No,No,0,100,19.23,19.23,18,18,15,15,,,,,2582,ME,LD,MO,TRUE,OTH,https://polibrary.org/
OR0066,2022,Rainier City Library,106 B St,Rainier,97048,PO Box 100,Rainier,97048,Columbia,503-556-7301,NONE,1,0,0,2568,142,0,0.7,0,1,50,FALSE,FALSE,0,1,0,0,68800,0,0,1000,9698,,0,7500,0,0,0,0,60000,0,4301,,4237,588,16910,,0,0,0,13570,250,301,10,779,21,0,0,56416,8403,0,0,35057,3841,0,0,,,0,0,5,0,"Ilocano, Samoan or Hawaiian; Japanese",0,0,22,0,0,0,0,,0,,0,,0,,0,187,1466,0,0,0,0,0,0,0,N/A (we do not track reference transactions),0,TRUE,,,1,50,0,0,0,0,1,5,2,10,0,0,0,0,3,0,0,0,1,5,240,Estimate,4,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),119.63,23.46,NONE,Library World,250,27,0,4,0,48,1488,1560,Estimate,2640,2640,,,No,No,No,We don't offer ILL at our library,,,,,,,,,,,,1913,NO,CI,SO,TRUE,PL1,https://cityofrainier.com/?view=library
OR9014,2022,Roseburg Public Library,"1409 NE Diamond Lake Blvd, Ste 100",Roseburg,97470,"1409 NE Diamond Lake Blvd, Ste 100",Roseburg,97470,Douglas,541-492-7050,NONE,1,0,0,7219,1006,2,2,1.5,16,541,TRUE,FALSE,2,1,4,0,531203,0,0,3299,2462,,10000,112998,9995,0,0,0,223314,130751,66652,,25155,4941,182519,,0,22062,2078,74646,4932,2668,107,2877,312,7,0,56416,8403,347,252,35057,3841,268,113,,,0,0,639,0,Arabic; Chinese (including Mandarin & Cantonese); French; German; Japanese; Russian; Tagalog; Vietnamese; other,0,0,22,0,88,0,23069,12505,3257,2189,25457,14006,0,0,2021,1090,18458,8054,0,0,0,0,352,4048,Estimate,525,TRUE,,,5,119,28,1477,7,895,29,234,2,14,3,28,41,2482,26,223,48,501,41,3980,2986,Actual count,16,Wi-Fi extends outside building (left on through evening hours after library closes),1310,Actual count,210.13,37.18,NONE,Biblionix,24328,25,3,4,0,36,1012,32554,Actual count,23657,23657,,2018,No,No,No,We don't offer ILL at our library,60,43.5,55.68,26.36,33.64,0,0,19.67,25.1,16,16,23701,NO,CI,SO,TRUE,PL1,https://www.cityofroseburg.org/departments/library/
OR0069,2022,Salem Public Library,585 Liberty St SE,Salem,97301,585 Liberty St SE,Salem,97301,Marion,503-588-6315,CCRLS,1,1,0,51953,7342,10,10,36,114,7229,TRUE,TRUE,41,5,0,0,5397280,0,463360,0,6477,,0,0,0,0,0,0,2694788,1295132,328642,,92950,173776,2585191,,0,0,0,269449,26941,15267,1061,11131,834,1254,156,56416,8403,6958,1429,35057,3841,3337,709,,,0,0,9732,489,,38,0,22,0,561,27468,205960,147424,29020,30592,204739,187681,2670,1763,0,0,233243,77449,766596,189,442457,39,69531,35000,Estimate,580,TRUE,,,37,1884,8,604,38,493,10,111,1,220,30,1183,29,3493,61,1625,0,0,15,3089,5330,Actual count,106,Wi-Fi extends outside building (left on through evening hours after library closes),107324,Actual count,500,30,CCRLS,SirsiDynix,148147,28,6,11,0,38,1378,141889,Estimate,91148,97148,,2021,No,Yes,Yes,as charged by other library / OCLC cost,60,57.56,77.35,34.57,46.46,28.08,38.81,23.96,29.23,20.72,24.97,177694,ME,CI,MO,TRUE,PL1,https://www.cityofsalem.net/library
OR0071,2022,Sandy Public Library,38980 Proctor Blvd,Sandy,97055,38980 Proctor Blvd,Sandy,97055,Clackamas,503-668-5537,LINCC,1,1,0,11390,1516,3.75,3.75,9.58,61,3444,TRUE,FALSE,5,7,5,1,169500,0,1460564,5761,,,0,228135,0,0,0,0,767107,385554,50164,,19895,17844,319664,Administration; Human Resources; Information Technology; Legal; Finance; other,0,0,0,56623,4817,4000,240,11084,1045,389,69,56416,8403,9794,3349,35057,3841,6879,2347,,,0,0,690,3529,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Thai, Lao; other",4,0,22,0,348,10397,85238,44689,4980,3193,53187,28024,575,16,0,0,23231,9455,98727,256,85972,127,140777,3172,Actual count,281,TRUE,,,90,945,45,2666,15,433,61,899,3,807,97,3017,92,2976,33,181,49,1523,52,3228,5820,Actual count,16,Wi-Fi extends outside building (left on through evening hours after library closes),23176,Actual count,94.63,93.41,LINCC,SirsiDynix,145272,35,7,10,0,52,2581,72620,Actual count,11620,13529,,2012,Yes,Yes,Yes,0,95,40.78,53.11,27.12,35.31,,,21.65,28.19,16.18,21.07,33782,ME,CI,MO,TRUE,PL2,https://www.ci.sandy.or.us/library
OR0072,2022,Scappoose Public Library District,52469 SE 2nd St,Scappoose,97056,PO Box 400,Scappoose,97056,Columbia,503-543-7123,NONE,1,0,0,5129,626,1.75,1.75,3.35,10,892,TRUE,FALSE,1,6,0,0,0,0,338690,1996,15400,,0,20797,0,0,0,0,173583,51914,32477,,4998,9200,78331,,0,0,8331,31307,3403,1235,153,5055,466,645,103,56416,8403,36,0,35057,3841,13,0,,,0,0,505,2743,,0,0,22,0,156,0,24407,3003,1496,310,24407,4588,,,0,0,13763,0,0,0,0,108,7849,6000,Estimate,341,TRUE,,,20,584,24,949,5,52,80,2371,5,500,134,3956,7,578,28,72,0,0,154,8392,1913,Actual count,15,Wi-Fi extends outside building (left on 24/7),16000,Estimate,60,11.75,Scappoose/St. Helens,The Library Corporation (TLC),21000,35,11,5,0,47,2355,40102,Actual count,11020,11020,,2015,No,No,No,0,25,23,32,23,32,15.62,17.25,14.69,16.22,13.35,14.74,12542,NO,LD,SO,TRUE,OTH,https://www.scappooselibrary.org/
OR0073,2022,Scio Public Library,38957 NW 1st Ave,Scio,97374,PO Box 37,Scio,97374,Linn,503-304-3342,NONE,1,0,0,657,61,0,1,0,6,40,TRUE,FALSE,1,0,0,0,74484,0,0,1000,0,,0,3715,0,0,0,9891,41675,21408,975,,4237,536,4116,,0,0,0,10508,288,393,13,662,12,0,0,56416,8403,0,0,35057,3841,0,0,,,0,0,22,0,French; German; other,0,0,22,0,0,0,1358,285,317,87,3981,556,0,0,0,0,1865,0,0,0,0,0,837,373,Actual count,0,TRUE,,,33,362,2,147,0,0,0,0,0,0,30,303,5,206,0,0,6,180,8,267,160,Actual count,2,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),97.52,94.86,Linn Libraries Consortium,Evergreen,0,35,0,0,0,51,1785,3147,Actual count,783,783,,,Yes,Yes,Yes,0,30,0,0,0,0,0,0,0,0,0,0,959,NO,CI,SO,TRUE,PL1,http://ci.scio.or.us/library.htm
OR0074,2022,Seaside Public Library,1131 Broadway St,Seaside,97138,1131 Broadway,Seaside,97138,Clatsop,503-738-6742,NONE,1,0,0,6948,480,3,5,2.5,13,565,TRUE,TRUE,5,1,4,1,773506,0,0,0,5478,,0,0,0,0,0,0,435249,139856,45000,,4500,0,148901,,0,0,0,47830,6500,3378,49,5796,395,0,0,56416,8403,149,0,35057,3841,121,0,,,0,0,1019,0,,3,3,22,0,32,0,,,,,,,,,58024,12000,9870,0,1824,950,1572,822,0,12000,Estimate,53,TRUE,,,46,703,19,1101,43,225,11,112,0,0,69,1116,9,539,30,379,0,0,5,80,4637,Actual count,28,Wi-Fi extends outside building (left on through evening hours after library closes),3611,Actual count,70.52,93.91,North Coast Library Cooperative,SirsiDynix,10929,32,8,13,0,52,50,82736,Actual count,13700,13700,,,Yes,No,No,0,70,33.25,49.49,30,40,18,25,15.95,17,15.95,17,7157,NO,CI,SO,TRUE,PL1,https://seasidelibrary.org/
OR0075,2022,Sheridan Public Library,142 NW Yamhill St,Sheridan,97378,PO Box 248,Sheridan,97378,Yamhill,503-843-3420,CCRLS,1,0,0,2129,151,0,1,1.75,0,0,FALSE,FALSE,2,1,0,1,210548,0,17883,1035,0,,0,1280,0,0,0,0,139152,62716,4797,,0,0,24081,,0,0,0,14272,588,310,6,2522,124,36,1,56416,8403,4948,866,35057,3841,812,0,,,29330,2868,454,3672,,8,0,22,0,0,992,5080,2860,201,150,1545,1201,37,29,2,2,3152,284,10348,0,4363,0,2959,153,Estimate,30,TRUE,,,5,12,8,46,0,0,0,0,0,0,11,28,2,30,0,0,0,0,3,339,696,Actual count,6,Wi-Fi extends outside building (left on 24/7),6552,Estimate,42.46,21.37,CCRLS,SirsiDynix,0,28,4,14,2,52,2408,4092,Estimate,3000,3000,,1992,No,No,No,return postage,60,,,,,,,,,,,6377,ME,CI,SO,TRUE,PL1,https://www.cityofsheridanor.com/library
OR9003,2022,Sherman County Public/school Library,65912 High School Loop,Moro,97039,65912 High School Loop,Moro,97039,Sherman,541-565-3279,NONE,1,0,0,1000,95,0,1,0,3,96,FALSE,FALSE,0,2,1,1,0,108847,88293,1702,0,,0,1562,0,0,0,0,93805,51670,17319,,752,0,25636,,0,0,0,19026,967,546,15,1142,28,46,3,56416,8403,0,0,35057,3841,0,0,,,0,0,155,0,,0,0,22,0,0,0,1321,360,477,75,6795,459,0,0,330,86,1327,83,1067,0,445,0,0,173,Estimate,33,TRUE,,,3,96,13,156,0,0,17,80,6,98,37,368,4,62,0,0,0,0,2,32,156,Estimate,11,Wi-Fi only available inside during open hours,n/a,N/A (we don't track Wi-Fi usage),9.3,0.75,Sage,Evergreen,1248,14,2,6,1,52,1196,,N/A (we do not track library visits),7280,7280,,,No,No,No,0,,15.94,19.49,0,0,0,0,14.95,18.35,0,0,1908,ME,CO,SO,TRUE,CO1,http://shermancountypsl.weebly.com/
OR0133,2022,Sherwood Public Library,22560 SW Pine St,Sherwood,97140,22560 SW Pine St,Sherwood,97140,Washington,503-625-6688,WCCLS,1,0,0,14952,1260,6.3,6.3,5.5,20,387,TRUE,FALSE,6,8,0,6,675799,981840,0,3324,0,,0,4495,0,0,0,0,734156,332174,78722,,0,44478,477925,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,0,29382,0,39137,6021,3732,470,6491,946,603,140,0,0,129861,36035,0,0,73701,14132,,,28865,2841,1255,10263,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Russian; Somali; Swahili; Tagalog; Thai, Lao; Ukrainian; Vietnamese; other",0,1,22,0,260,7515,58701,44635,6727,7382,91353,82563,1886,1926,15,6,,105749,75747,150,192322,535,18618,2950,Actual count,0,TRUE,,,55,906,34,522,34,175,53,370,16,1516,81,1785,7,637,105,1102,0,0,51,8944,5905,Actual count,13,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),94.12,86.4,WCCLS,Polaris,44670,35,13,11,1,52,3023,126149,Actual count,14400,14400,,,No,No,No,as charged by other library / OCLC cost,140,45.65,57.89,39.86,50.55,26.46,41.42,18.09,27.18,14.31,18.69,24595,ME,CI,SO,TRUE,PL2,https://www.sherwoodoregon.gov/library
OR9017,2022,Siletz Public Library,255 SE Gaither St,Siletz,97380,255 SE Gaither St,Siletz,97380,Lincoln,541-444-2855,LCLD,1,0,0,2449,60,0,0,1.5,1,54,TRUE,FALSE,0,3,0,0,0,0,99760,1000,0,,0,13091,0,0,0,0,87573,6699,4318,,0,0,21953,,0,0,0,16189,586,613,0,2385,83,15,9,56416,8403,0,0,35057,3841,0,0,,,0,0,32,0,Arabic; Chinese (including Mandarin & Cantonese); French; German; Japanese; Korean; Russian; other,0,1,22,0,2,0,3131,915,158,94,1958,597,,,,,818,0,848,37,482,55,0,412,Actual count,47,TRUE,,,14,166,5,108,0,0,26,156,16,331,42,487,0,0,1,12,4,114,7,80,1970,Actual count,6,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),94.8,21.14,Chinook Library Network,Koha,611,24,0,7,0,56,1344,4523,Actual count,4000,4000,,,No,No,No,0,,,,,,,,,24.34,15,17.56,2770,ME,OT,SO,TRUE,PL2,https://www.chinooklibraries.org/
OR0078,2022,Silver Falls Library District,410 S Water St,Silverton,97381,410 S Water St,Silverton,97381,Marion,503-873-7633,CCRLS,1,0,0,8667,741,3,3.75,7.1,23,778,TRUE,FALSE,5,8,3,8,0,8130,1017609,4218,0,,0,29763,0,0,0,0,607036,255092,73246,,1690,22323,139647,,0,0,0,74486,5708,6378,436,8412,503,352,64,56416,8403,4996,866,35057,3841,849,0,,,29330,2868,755,2360,"Chinese (including Mandarin & Cantonese); French; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Tagalog; Ukrainian; Vietnamese; other",11,0,22,0,73,3619,57873,50364,8865,9382,56032,48480,475,314,0,0,26039,977,219616,10,231820,56,234477,5220,Estimate,7,TRUE,,,7,153,2,113,2,48,2,36,8,150,7,163,4,142,72,571,3,211,92,2322,3012,Actual count,10,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),46.5,10,CCRLS,SirsiDynix,22389,28,7,6,0,52,2096,58603,Actual count,17172,17172,,1997,Yes,No,No,1,75,45.29,45.29,25.37,31.32,,,17.8,22.47,15.93,19.52,20707,ME,LD,SO,TRUE,OTH,https://www.silverfallslibrary.org/
OR0008,2022,Siuslaw Public Library District,1460 9th St,Florence,97439,1460 9th St,Florence,97439,Lane,541-997-3132,NONE,1,1,0,5866,949,5,6,4,56,709,TRUE,TRUE,8,5,1,10,0,0,1093234,2718,0,,5379,546624,0,0,0,0,530018,233759,87971,,26767,51200,202769,,15804,1995,14185,83513,5226,7128,209,10800,551,587,24,56416,8403,260,45,35057,3841,404,79,,,0,0,356,2278,Arabic; Chinese (including Mandarin & Cantonese); French; German; Japanese; Korean; Russian; Tagalog; Ukrainian; Vietnamese; other,19,0,22,0,45,6696,59844,9577,1202,242,13945,1570,316,103,289,18,23554,10900,1373,283,1096,431,240,5548,Estimate,603,TRUE,,,16,588,14,347,2,46,35,235,16,588,35,235,15,620,74,785,6,12,47,1399,5462,Estimate,28,Wi-Fi extends outside building (left on 24/7),0,Actual count,31,31.3,Lane Council of Libraries,SirsiDynix,32613,35,9,11,1,26,994,130708,Actual count,20790,21765,,2011,No,No,No,as charged by other library / OCLC cost,50,,44.54,22.69,34.94,18.99,29.25,15.38,23.68,13.7,21.1,19921,ME,LD,MO,TRUE,OTH,https://www.siuslawlibrary.info/
OR0038,2022,Southern Wasco County Library,507 Grant Ave,Maupin,97037,PO Box 328,Maupin,97037,Wasco,541-395-2208,WCLSD,1,0,0,651,96,0,1,0.25,3,227,FALSE,TRUE,1,0,1,0,34516,0,68900,2494,0,,0,11500,0,0,0,0,42195,22832,12500,,0,5901,28624,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,0,0,0,8305,731,233,10,1340,100,19,2,56416,8403,429,429,35057,3841,488,488,,,0,0,91,0,,0,0,22,0,2,1865,2603,626,164,53,2476,532,28,25,697,42,1589,34,505,0,694,0,10,842,Estimate,156,TRUE,,,17,140,32,201,4,49,17,195,9,299,79,884,4,16,1,5,0,0,10,60,2,Estimate,107,Wi-Fi extends outside building (left on 24/7),1040,Estimate,914.8,707.94,Sage,Evergreen,622,34,0,6,0,52,2080,4932,Actual count,3760,3760,,2019,No,No,No,as charged by other library / OCLC cost,,17,22,,,,,12,15,,,2612,ME,CI,SO,TRUE,PL2,https://www.wascocountylibrary.com/southern-wasco-co-library
OR0079,2022,Springfield Public Library,225 5th St,Springfield,97477,225 5th St,Springfield,97477,Lane,541-726-3766,NONE,1,0,0,17901,2519,8,8,5.64,52,4563,TRUE,TRUE,15,0,0,5,1915951,0,0,9972,0,,0,292241,0,0,0,0,992047,574861,64043,,53534,8998,323594,Administration; Facilities; Human Resources; Information Technology; Legal; Finance,0,1168,0,159326,7642,6774,248,9187,364,541,94,56416,8403,260,45,35057,3841,404,79,,,0,0,6790,0,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Marshallese; Russian; Swahili; Tagalog; Thai, Lao; Vietnamese",14,0,22,0,277,205227,53406,37011,8383,8482,79076,70774,1636,2387,245,198,51036,10900,1185,0,610,0,3262,443,Estimate,378,TRUE,,,16,105,61,936,68,904,73,1380,37,3914,145,6164,6,305,110,1075,0,0,,,6277,Actual count,11,Wi-Fi extends outside building (left on 24/7),4584,Estimate,89.27,32.31,Lane Council of Libraries,SirsiDynix,79924,31,7,5,0,52,2236,202618,Estimate,24910,24910,,2000,No,No,No,We don't offer ILL at our library,95,52.89,74.05,34.25,47.95,27.32,41.23,15.5,21.71,20.14,28.19,62352,ME,CI,SO,TRUE,PL1,https://wheremindsgrow.org/home
